Tipo;Derivados;Refinaria;Produção;Estado
Energéticos;Gasolina A;A;19258,416;AM
Energéticos;Gasolina de aviação;A;0;AM
Energéticos;GLP²;A;0;AM
Energéticos;Óleo combustível3,4;A;44236,101;AM
Energéticos;Óleo diesel4;A;3536,189;AM
Energéticos;QAV;A;0;AM
Energéticos;Querosene iluminante;A;0;AM
Energéticos;Outros5;A;0;AM
Energéticos;Gasolina A;B;0;BA
Energéticos;Gasolina de aviação;B;0;BA
Energéticos;GLP²;B;0;BA
Energéticos;Óleo combustível3,4;B;116116,2192;BA
Energéticos;Óleo diesel4;B;38301,35606;BA
Energéticos;QAV;B;0;BA
Energéticos;Querosene iluminante;B;0;BA
Energéticos;Outros5;B;0;BA
Energéticos;Gasolina A;C;572392,087;BA
Energéticos;Gasolina de aviação;C;0;BA
Energéticos;GLP²;C;0;BA
Energéticos;Óleo combustível3,4;C;0;BA
Energéticos;Óleo diesel4;C;0;BA
Energéticos;QAV;C;0;BA
Energéticos;Querosene iluminante;C;0;BA
Energéticos;Outros5;C;0;BA
Energéticos;Gasolina A;D;1111353;CE
Energéticos;Gasolina de aviação;D;0;CE
Energéticos;GLP²;D;275624,3459;CE
Energéticos;Óleo combustível3,4;D;149690,5855;CE
Energéticos;Óleo diesel4;D;1391132;CE
Energéticos;QAV;D;0;CE
Energéticos;Querosene iluminante;D;0;CE
Energéticos;Outros5;D;0;CE
Energéticos;Gasolina A;E;1539150;MG
Energéticos;Gasolina de aviação;E;0;MG
Energéticos;GLP²;E;1331789,1;MG
Energéticos;Óleo combustível3,4;E;1902417,954;MG
Energéticos;Óleo diesel4;E;3066302;MG
Energéticos;QAV;E;1427492;MG
Energéticos;Querosene iluminante;E;0;MG
Energéticos;Outros5;E;0;MG
Energéticos;Gasolina A;F;2025822;PE
Energéticos;Gasolina de aviação;F;0;PE
Energéticos;GLP²;F;582990,1233;PE
Energéticos;Óleo combustível3,4;F;402070,4349;PE
Energéticos;Óleo diesel4;F;3825803;PE
Energéticos;QAV;F;206894;PE
Energéticos;Querosene iluminante;F;0;PE
Energéticos;Outros5;F;0;PE
Energéticos;Gasolina A;G;2024121;PR
Energéticos;Gasolina de aviação;G;0;PR
Energéticos;GLP²;G;647605,4529;PR
Energéticos;Óleo combustível3,4;G;404448,0305;PR
Energéticos;Óleo diesel4;G;3839457;PR
Energéticos;QAV;G;714520;PR
Energéticos;Querosene iluminante;G;2234;PR
Energéticos;Outros5;G;0;PR
Energéticos;Gasolina A;H;501019;RJ
Energéticos;Gasolina de aviação;H;0;RJ
Energéticos;GLP²;H;62780,5935;RJ
Energéticos;Óleo combustível3,4;H;128096,667;RJ
Energéticos;Óleo diesel4;H;505394,7034;RJ
Energéticos;QAV;H;125360;RJ
Energéticos;Querosene iluminante;H;0;RJ
Energéticos;Outros5;H;0;RJ
Energéticos;Gasolina A;I;2920710;RJ
Energéticos;Gasolina de aviação;I;0;RJ
Energéticos;GLP²;I;949814,8638;RJ
Energéticos;Óleo combustível3,4;I;494073,3117;RJ
Energéticos;Óleo diesel4;I;4812816;RJ
Energéticos;QAV;I;265933;RJ
Energéticos;Querosene iluminante;I;1656;RJ
Energéticos;Outros5;I;0;RJ
Energéticos;Gasolina A;J;4493141;RN
Energéticos;Gasolina de aviação;J;0;RN
Energéticos;GLP²;J;1023355,722;RN
Energéticos;Óleo combustível3,4;J;683757,7756;RN
Energéticos;Óleo diesel4;J;8351358;RN
Energéticos;QAV;J;1130999;RN
Energéticos;Querosene iluminante;J;0;RN
Energéticos;Outros5;J;0;RN
Energéticos;Gasolina A;K;3088166;RS
Energéticos;Gasolina de aviação;K;0;RS
Energéticos;GLP²;K;1005175,698;RS
Energéticos;Óleo combustível3,4;K;1528188,54;RS
Energéticos;Óleo diesel4;K;3773706;RS
Energéticos;QAV;K;1931763;RS
Energéticos;Querosene iluminante;K;1072;RS
Energéticos;Outros5;K;0;RS
Energéticos;Gasolina A;L;367956,719;RS
Energéticos;Gasolina de aviação;L;0;RS
Energéticos;GLP²;L;30648,791;RS
Energéticos;Óleo combustível3,4;L;75174,986;RS
Energéticos;Óleo diesel4;L;371466,563;RS
Energéticos;QAV;L;0;RS
Energéticos;Querosene iluminante;L;697,363;RS
Energéticos;Outros5;L;0;RS
Energéticos;Gasolina A;M;2786645;SP
Energéticos;Gasolina de aviação;M;0;SP
Energéticos;GLP²;M;899214,295;SP
Energéticos;Óleo combustível3,4;M;2969273,1;SP
Energéticos;Óleo diesel4;M;4491607;SP
Energéticos;QAV;M;358977;SP
Energéticos;Querosene iluminante;M;0;SP
Energéticos;Outros5;M;0;SP
Energéticos;Gasolina A;N;0;SP
Energéticos;Gasolina de aviação;N;0;SP
Energéticos;GLP²;N;99418,85685;SP
Energéticos;Óleo combustível3,4;N;87861,15102;SP
Energéticos;Óleo diesel4;N;2954110;SP
Energéticos;QAV;N;0;SP
Energéticos;Querosene iluminante;N;0;SP
Energéticos;Outros5;N;0;SP
Energéticos;Gasolina A;O;2118840;SP
Energéticos;Gasolina de aviação;O;46220;SP
Energéticos;GLP²;O;431901,637;SP
Energéticos;Óleo combustível3,4;O;536413,4383;SP
Energéticos;Óleo diesel4;O;4156282;SP
Energéticos;QAV;O;15621;SP
Energéticos;Querosene iluminante;O;0;SP
Energéticos;Outros5;O;0;SP
Energéticos;Gasolina A;P;138296;SP
Energéticos;Gasolina de aviação;P;0;SP
